Sentence#,Word,Pos,Tag
1,Leptospirosis,PROPN,B-DISEASE
1,is,AUX,O
1,not,PART,O
1,spread,VERB,O
1,from,ADP,O
1,person,NOUN,O
1,to,ADP,O
1,person,NOUN,O
1,",",PUNCT,O
1,except,SCONJ,O
1,in,ADP,O
1,very,ADV,O
1,rare,ADJ,O
1,cases,NOUN,O
1,.,PUNCT,O
2,Poor,ADJ,O
2,demand,NOUN,O
2,for,ADP,O
2,pork,NOUN,O
2,after,ADP,O
2,the,DET,O
2,outbreak,NOUN,B-EVENT
2,of,ADP,O
2,African,ADJ,B-DISEASE
2,swine,NOUN,I-DISEASE
2,fever,NOUN,I-DISEASE
2,in,ADP,O
2,two,NUM,B-CARDINAL
2,pig,NOUN,O
2,farms,NOUN,O
2,in,ADP,O
2,Wayanad,PROPN,B-GPE
2,has,AUX,O
2,cast,VERB,O
2,a,DET,O
2,cloud,NOUN,O
2,over,ADP,O
2,the,DET,O
2,lives,NOUN,O
2,of,ADP,O
2,pig,NOUN,O
2,farmers,NOUN,O
2,On,ADP,O
2,July,PROPN,B-DATE
2,30,NUM,I-DATE
2,2022,NUM,I-DATE
2,.,PUNCT,O
3,But,CCONJ,O
3,this,DET,O
3,year,NOUN,O
3,no,DET,O
3,farmer,NOUN,O
3,could,AUX,O
3,sell,VERB,O
3,a,DET,O
3,single,ADJ,O
3,animal,NOUN,O
3,after,SCONJ,O
3,African,ADJ,B-DISEASE
3,swine,NOUN,I-DISEASE
3,fever,NOUN,I-DISEASE
3,was,AUX,O
3,confirmed,VERB,B-EVENT
3,in,ADP,O
3,two,NUM,B-CARDINAL
3,farms,NOUN,O
3,in,ADP,O
3,the,DET,O
3,district,NOUN,O
3,recently,ADV,O
3,",",PUNCT,O
3,says,VERB,O
3,K,PROPN,O
3,Raveendran,PROPN,B-PERSON
3,",",PUNCT,O
3,owner,NOUN,O
3,of,ADP,O
3,Kalindhi,PROPN,O
3,pig,NOUN,O
3,farm,NOUN,O
3,at,ADP,O
3,Thavinhal,PROPN,B-GPE
3,.,PUNCT,O
4,He,PRON,O
4,had,AUX,O
4,sold,VERB,O
4,146,NUM,B-CARDINAL
4,pigs,NOUN,O
4,to,ADP,O
4,traders,NOUN,O
4,from,ADP,O
4,Idukki,PROPN,B-GPE
4,last,ADJ,O
4,year,NOUN,O
4,at,ADP,O
4,a,DET,O
4,better,ADJ,O
4,price,NOUN,O
4,.,PUNCT,O
5,500,NUM,B-CARDINAL
5,farmers,NOUN,O
5,According,VERB,O
5,to,ADP,O
5,data,NOUN,O
5,available,ADJ,O
5,with,ADP,O
5,the,DET,O
5,association,NOUN,O
5,",",PUNCT,O
5,500,NUM,B-CARDINAL
5,farmers,NOUN,O
5,are,AUX,O
5,engaged,VERB,O
5,in,ADP,O
5,pig,NOUN,O
5,farming,NOUN,O
5,in,ADP,O
5,the,DET,O
5,district,NOUN,O
5,",",PUNCT,O
5,rearing,VERB,O
5,over,ADP,O
5,20000,NUM,B-CARDINAL
5,pigs,NOUN,O
5,.,PUNCT,O
6,African,ADJ,B-DISEASE
6,swine,NOUN,I-DISEASE
6,fever,NOUN,I-DISEASE
6,is,AUX,O
6,a,DET,O
6,highly,ADV,O
6,contagious,ADJ,O
6,viral,ADJ,B-DISEASE
6,disease,NOUN,I-DISEASE
6,in,ADP,O
6,domestic,ADJ,O
6,and,CCONJ,O
6,wild,ADJ,O
6,pigs,NOUN,O
6,.,PUNCT,O
7,African,ADJ,B-DISEASE
7,swine,NOUN,I-DISEASE
7,fever,NOUN,I-DISEASE
7,does,AUX,O
7,not,PART,O
7,pose,VERB,O
7,a,DET,O
7,threat,NOUN,O
7,to,ADP,O
7,humans,NOUN,O
7,as,SCONJ,O
7,it,PRON,O
7,will,AUX,O
7,not,PART,O
7,be,AUX,O
7,transmitted,VERB,O
7,from,ADP,O
7,pigs,NOUN,O
7,to,ADP,O
7,humans,NOUN,O
7,.,PUNCT,O
8,Though,SCONJ,O
8,African,ADJ,B-DISEASE
8,swine,NOUN,I-DISEASE
8,fever,NOUN,I-DISEASE
8,been,AUX,O
8,reported,VERB,B-EVENT
8,only,ADV,O
8,from,ADP,O
8,two,NUM,B-CARDINAL
8,farms,NOUN,O
8,",",PUNCT,O
8,close,ADJ,O
8,to,ADP,O
8,500,NUM,B-CARDINAL
8,animals,NOUN,O
8,were,AUX,O
8,culled,VERB,O
8,in,ADP,O
8,three,NUM,O
8,other,ADJ,O
8,farms,NOUN,O
8,in,ADP,O
8,a,DET,O
8,radius,NOUN,O
8,of,ADP,O
8,one,NUM,O
8,km,NOUN,O
8,to,PART,O
8,contain,VERB,O
8,the,DET,O
8,spread,NOUN,O
8,of,ADP,O
8,African,ADJ,B-DISEASE
8,swine,NOUN,I-DISEASE
8,fever,NOUN,I-DISEASE
8,.,PUNCT,O
9,Leptospirosis,PROPN,B-DISEASE
9,is,AUX,O
9,an,DET,O
9,infection,NOUN,B-EVENT
9,caused,VERB,O
9,by,ADP,O
9,leptospira,PROPN,B-PATHOGEN
9,bacteria,NOUN,I-PATHOGEN
9,.,PUNCT,O
10,Leptospira,PROPN,B-PATHOGEN
10,bacteria,NOUN,I-PATHOGEN
10,can,AUX,O
10,be,AUX,O
10,found,VERB,O
10,in,ADP,O
10,fresh,ADJ,O
10,water,NOUN,O
10,that,PRON,O
10,has,AUX,O
10,been,AUX,O
10,soiled,VERB,O
10,by,ADP,O
10,animal,NOUN,O
10,urine,NOUN,O
10,.,PUNCT,O
11,The,DET,O
11,Leptospirosis,PROPN,B-DISEASE
11,infection,NOUN,I-DISEASE
11,occurs,VERB,O
11,in,ADP,O
11,warmer,ADJ,O
11,climates,NOUN,O
11,.,PUNCT,O
12,Kerala,PROPN,B-STATE
12,on,ADP,O
12,July,PROPN,B-DATE
12,4,NUM,I-DATE
12,2022,NUM,I-DATE
12,Sunday,PROPN,O
12,recorded,VERB,O
12,3322,NUM,B-CARDINAL
12,fresh,ADJ,O
12,COVID-19,NOUN,B-DISEASE
12,cases,NOUN,B-EVENT
12,and,CCONJ,O
12,two,NUM,B-CARDINAL
12,deaths,NOUN,B-EVENT
12,which,PRON,O
12,raised,VERB,O
12,the,DET,O
12,total,ADJ,O
12,caseload,NOUN,B-EVENT
12,to,ADP,O
12,6653272,NUM,B-CARDINAL
12,and,CCONJ,O
12,the,DET,O
12,fatalities,NOUN,B-EVENT
12,to,ADP,O
12,70048,NUM,B-CARDINAL
12,respectively,ADV,O
12,.,PUNCT,O
13,In,ADP,O
13,24,NUM,O
13,hours,NOUN,O
13,",",PUNCT,O
13,3258,NUM,B-CARDINAL
13,people,NOUN,O
13,recovered,VERB,B-EVENT
13,from,ADP,O
13,COVID-19,NOUN,B-DISEASE
13,infection,NOUN,I-DISEASE
13,and,CCONJ,O
13,the,DET,O
13,active,ADJ,B-EVENT
13,cases,NOUN,I-EVENT
13,increased,VERB,O
13,to,ADP,O
13,28720,NUM,B-CARDINAL
13,.,PUNCT,O
14,On,ADP,O
14,Saturday,PROPN,O
14,",",PUNCT,O
14,the,DET,O
14,State,NOUN,O
14,reported,VERB,O
14,3642,NUM,B-CARDINAL
14,new,ADJ,B-EVENT
14,cases,NOUN,I-EVENT
14,and,CCONJ,O
14,nine,NUM,B-CARDINAL
14,deaths,NOUN,B-EVENT
14,.,PUNCT,O
15,Mask,VERB,O
15,mandatory,ADJ,O
15,in,ADP,O
15,view,NOUN,O
15,of,ADP,O
15,the,DET,O
15,gradual,ADJ,O
15,increase,NOUN,O
15,in,ADP,O
15,COVID-19,PROPN,B-DISEASE
15,cases,NOUN,B-EVENT
15,.,PUNCT,O
16,This,DET,O
16,month,NOUN,O
16,when,SCONJ,O
16,the,DET,O
16,State,PROPN,O
16,has,AUX,O
16,been,AUX,O
16,",",PUNCT,O
16,on,ADP,O
16,an,DET,O
16,average,ADJ,O
16,",",PUNCT,O
16,reporting,VERB,O
16,over,ADP,O
16,3000,NUM,B-CARDINAL
16,COVID-19,NOUN,B-DISEASE
16,cases,NOUN,B-EVENT
16,daily,ADV,O
16,",",PUNCT,O
16,all,DET,O
16,district,NOUN,O
16,police,NOUN,O
16,chiefs,NOUN,O
16,have,AUX,O
16,been,AUX,O
16,asked,VERB,O
16,to,PART,O
16,ensure,VERB,O
16,implementation,NOUN,O
16,of,ADP,O
16,a,DET,O
16,State,NOUN,O
16,government,NOUN,O
16,direction,NOUN,O
16,to,PART,O
16,make,VERB,O
16,wearing,VERB,O
16,of,ADP,O
16,masks,NOUN,O
16,mandatory,ADJ,O
16,in,ADP,O
16,public,ADJ,O
16,",",PUNCT,O
16,workplaces,NOUN,O
16,",",PUNCT,O
16,gatherings,NOUN,O
16,",",PUNCT,O
16,and,CCONJ,O
16,while,SCONJ,O
16,using,VERB,O
16,transportation,NOUN,O
16,.,PUNCT,O
17,In,ADP,O
17,an,DET,O
17,order,NOUN,O
17,dated,VERB,O
17,June,PROPN,B-DATE
17,22,NUM,I-DATE
17,circulated,VERB,O
17,to,ADP,O
17,all,DET,O
17,district,NOUN,O
17,police,NOUN,O
17,chiefs,NOUN,O
17,for,ADP,O
17,urgent,ADJ,O
17,implementation,NOUN,O
17,",",PUNCT,O
17,the,DET,O
17,Police,PROPN,O
17,department,NOUN,O
17,had,AUX,O
17,referred,VERB,O
17,to,ADP,O
17,an,DET,O
17,April,PROPN,B-DATE
17,27,NUM,I-DATE
17,directive,NOUN,O
17,of,ADP,O
17,the,DET,O
17,State,PROPN,O
17,Disaster,PROPN,O
17,Management,PROPN,O
17,Authority,PROPN,O
17,in,ADP,O
17,this,DET,O
17,regard,NOUN,O
17,.,PUNCT,O
18,Various,ADJ,O
18,types,NOUN,O
18,of,ADP,O
18,viral,ADJ,B-DISEASE
18,infections,NOUN,I-DISEASE
18,are,AUX,O
18,being,AUX,O
18,reported,VERB,B-EVENT
18,in,ADP,O
18,high,ADJ,O
18,numbers,NOUN,O
18,from,ADP,O
18,different,ADJ,O
18,parts,NOUN,O
18,of,ADP,O
18,Kozhikode,PROPN,B-GPE
18,On,ADP,O
18,July,PROPN,B-DATE
18,6,NUM,I-DATE
18,2022,NUM,I-DATE
18,even,ADV,O
18,as,SCONJ,O
18,south,NOUN,O
18,-,PUNCT,O
18,west,PROPN,O
18,monsoon,PROPN,O
18,is,AUX,O
18,gaining,VERB,O
18,momentum,NOUN,O
